<p style="text-align:justify;">Chọn công thức tính chỉ số thực hiện về chi phí (Schedule performance index):</p>	SPI = ACWP / BCWP.	SPI = BCWP / ACWP.	SPI = BCWS / BCWP.	SPI = BCWP / BCWS.	SPI = BCWP / BCWS.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: SPI = BCWP / BCWS.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>
<p style="text-align:justify;">Khi phân tích giá trị thu được của dự án và biểu diễn trạng thái của dự án bằng biểu đồ thì số khả năng của trạng thái là:</p>	3	5	6	4	6<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: 6</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>
<p style="text-align:justify;">Một dự án phát triển phần mềm ước tính hoàn tất trong 6 tháng với chi phí 10.000$. Khi dự án còn 2 tháng nữa sẽ kết thúc, 55% công việc của dự án đã hoàn tất, 7.000$ đã dùng cho các công việc. Phương sai lịch biểu (SV) là:</p>	-3.000$.	3.000$.	-1.160$.	1.160$.	-1.160$<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: -1.160$</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>
<p style="text-align:justify;">Nhóm quy trình quản lý dự án nào được lặp đi lặp lại trong suốt vòng đời dự án?</p>	Khởi động, lập kế hoạch, kiểm soát.	Lập kế hoạch, thực hiện, kiểm soát.	Lập kế hoạch, kiểm soát, kết thúc.	Khởi động, lập kế hoạch, thực hiện.	Lập kế hoạch, thực hiện, kiểm soát.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Lập kế hoạch, thực hiện, kiểm soát.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>
<p style="text-align:justify;">Phân tích giá trị thu được, giá trị của CV dương và SV âm:</p>	Giá trị khối lượng công việc đã hoàn thành lớn hơn chi phí thực tế và chi phí thực tế nhỏ hơn chi phí theo kế hoạch.	Giá trị khối lượng công việc đã hoàn thành lớn hơn chi phí thực tế nhưng nhỏ hơn chi phí theo kế hoạch.	Giá trị khối lượng công việc hoàn thành nhỏ hơn chi phí thực tế nhưng lớn hơn chi phí theo kế hoạch.	Giá trị khối lượng công việc đã hoàn thành nhỏ hơn chi phí thực tế và chi phí thực tế nhỏ hơn chi phí theo kế hoạch.	Giá trị khối lượng công việc đã hoàn thành lớn hơn chi phí thực tế nhưng nhỏ hơn chi phí theo kế hoạch.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Giá trị khối lượng công việc đã hoàn thành lớn hơn chi phí thực tế nhưng nhỏ hơn chi phí theo kế hoạch.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>
<p style="text-align:justify;">Chọn công thức tính phương sai về lịch biểu:</p>	SV = BCWP – ACWP.	SV = BCWS – BCWP	SV = ACWP – BCWP.	SV = BCWP – BCWS.	SV = BCWP – BCWS.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: SV = BCWP – BCWS.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>
<p style="text-align:justify;">Cách ước lượng tỉ lệ phần trăm hoàn thành cho các công việc dự án KHÔNG theo quy ước là:</p>	Ước lượng cân đối.	Ước lượng 0-100.	Ước lượng 40-60.	Ước lượng 50-50	Ước lượng 40-60.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Ước lượng 40-60.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 6. Kiểm soát dự án phần mềm.</p>
<p style="text-align:justify;">Xếp loại rủi ro cho tình huống: Tổ chức có thể không đủ khả năng về kinh phí để thực hiện dự án phần mềm?</p>	Rủi ro về thị trường.	Rủi ro về tài chính.	Rủi ro về con người.	Rủi ro về kỹ thuật.	Rủi ro về tài chính.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 7. Quản lý rủi ro dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Rủi ro về tài chính.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 7. Quản lý rủi ro dự án phần mềm.</p>
<p style="text-align:justify;">Nhân tố nào sau đây là rủi ro về nhân sự?</p>	Thành viên rời bỏ nhóm dự án.	Thu nhận nhân sự.	Phát triển đội dự án.	Hoạch định nhân sự.	Thành viên rời bỏ nhóm dự án.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 7. Quản lý rủi ro dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Thành viên rời bỏ nhóm dự án.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 7. Quản lý rủi ro dự án phần mềm.</p>
<p style="text-align:justify;">Hoạt động nào sau đây KHÔNG thuộc về quản lý rủi ro dự án?</p>	Đánh giá mức độ tác động.	Đánh giá tiến độ thực hiện dự án.	Tìm giải pháp giảm thiểu mức độ tác động.	Xác định xác suất xuất hiện.	Đánh giá tiến độ thực hiện dự án.<p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 7. Quản lý rủi ro dự án phần mềm.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Đánh giá tiến độ thực hiện dự án.</p><p><span style="font-weight: bold;">Tham khảo</span>: Bài giảng Chương 7. Quản lý rủi ro dự án phần mềm.</p>
