<p style="text-align:justify;">Trong phpMyAdmin, để xem dữ liệu của một bảng thì nhấn nút nào dưới đây?</p>	Structure	Data	Browse	Click vào tên bảng ở menu bên trái.	Click vào tên bảng ở menu bên trái.<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Click vào tên bảng ở menu bên trái cho phép phpMyAdmin view dữ liệu của bảng.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Click vào tên bảng ở menu bên trái.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Click vào tên bảng ở menu bên trái cho phép phpMyAdmin view dữ liệu của bảng.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Tầng model của mô hình MVC chứa những gì?</p>	Các file PHP thể hiện giao tiếp với người dùng.	Các file PHP biểu thị dữ liệu của ứng dụng.	Các file database.	Các file HTML thể hiện giao diện của ứng dụng.	Các file PHP biểu thị dữ liệu của ứng dụng.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Các file PHP biểu thị dữ liệu của ứng dụng.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: model dùng để chứa các file mô tả dữ liệu.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Để khởi tạo mảng gồm 4 phần tử trong PHP thì dùng cấu trúc nào sau đây?</p>	array[3]	array(3)	$a = array(4)	array(5)	array(3)<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Khởi tạo 4 phần tử người ta dùng array(3) vì chỉ số bắt đầu từ 0.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: array(3)</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Khởi tạo 4 phần tử người ta dùng array(3) vì chỉ số bắt đầu từ 0.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Để thực thi câu truy vấn "SELECT * FROM Table" trong PHP với biến kết nối là $db thì dùng cấu trúc nào?</p>	$db-&gt;query('SELECT * FROM Table')	$db-&gt;exec('SELECT * FROM Table')	$db-&gt;execute('SELECT * FROM Table')	$db-&gt;query(SELECT * FROM Table)	$db-&gt;query('SELECT * FROM Table')<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Để lấy dữ liệu ta dùng cú pháp query: $db-&gt;query('SELECT * FROM Table')</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: $db-&gt;query('SELECT * FROM Table')</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Để lấy dữ liệu ta dùng cú pháp query: $db-&gt;query('SELECT * FROM Table')</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Tầng nào sau đây thuộc các tầng của mô hình MVC?</p>	Model, view, controller	Database	Control	Viewer	Model, view, controller	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Model, view, controller</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Database, Viewer, Control không phải là các tầng trong mô hình MVC.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Để lấy giá trị của phần tử thứ 4 của mảng $a và lưu vào biến $b thì dùng cấu trúc nào sau đây?</p>	$b = $a(2)	$b = $a[3]	$b = $a[4]	$b = $a(2,0)	$b = $a[3]	<p><span style="font-weight: bold;">Đáp án đúng là</span>: $b = $a[3]</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Chỉ số mảng bắt đầu từ 0, để lấy giá trị của phần tử thứ 4 người ta dùng $a[3]</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Để gán giá trị 'abc' cho phần tử 'Ten' của mảng $a thì dùng cấu trúc nào sau đây?</p>	$a['Ten'] = 'abc'	$a[Ten] = abc	$a('Ten',0) = 'abc'	$a('Ten') = 'abc'	$a['Ten'] = 'abc'	<p><span style="font-weight: bold;">Đáp án đúng là</span>: $a['Ten'] = 'abc'</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Để gán giá trị chuỗi cho phần tử mảng người ta dùng cú pháp $a['Ten'] = 'abc'</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Để chuyển tiếp yêu cầu từ một trang PHP này sang một trang PHP khác người ta dùng hàm nào sau đây?</p>	require_once	header	include	require	include	<p><span style="font-weight: bold;">Đáp án đúng là</span>: include</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Khi chuyển tiếp trang trong PHP người ta dùng include.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Cấu trúc try catch dùng để…</p>	Bỏ qua lỗi của đoạn mã PHP.	Bỏ qua 1 dòng lệnh PHP.	Tăng tốc độ thực thi cho đoạn mã PHP.	Bắt ngoại lệ của đoạn mã PHP.	Bắt ngoại lệ của đoạn mã PHP.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Bắt ngoại lệ của đoạn mã PHP.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Ý nghĩa của try...catch là dùng để bắt ngoại lệ.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
<p style="text-align:justify;">Cú pháp nào sau đây là đúng?</p>	header(Location:.)	header(Location:/admin)	header(Locations:.)	header(http://fpt.com.vn)	header(Location:.)<p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: header('location: .) là chỉ thị redirect.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>	<p><span style="font-weight: bold;">Đáp án đúng là</span>: header(Location:.)</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: header('location: .) là chỉ thị redirect.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 5: Các thao tác dữ liệu trong PHP và MySQL, Mục 5.3. Sử dụng PDO.</p>
